"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"CRTX","Cornerstone Therapeutics Inc.","5.96","155103040","n/a","2004","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/crtx",
"CNDO","Coronado Biosciences, Inc.","8.46","156713040","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cndo",
"CRVL","CorVel Corp.","39.89","452711610","n/a","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/crvl",
"COSI","Cosi, Inc.","1.08","55998000","n/a","1993","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/cosi",
"CPWM","Cost Plus, Inc.","17.9","400476700","n/a","1996","Consumer Services","Home Furnishings","http://www.nasdaq.com/symbol/cpwm",
"CSGP","CoStar Group, Inc.","69.05","1757046300","n/a","1998","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/csgp",
"COST","Costco Wholesale Corporation","90.8","39491553200","n/a","1985","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/cost",
"CRRC","Courier Corporation","11.6","142123200","n/a","1972","Consumer Services","Publishing","http://www.nasdaq.com/symbol/crrc",
"CVTI","Covenant Transportation Group, Inc.","3.2","39584000","n/a","1994","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/cvti",
"COWN","Cowen Group, Inc.","2.71","313227220","n/a","2006","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/cown",
"CRAI","CRA International,Inc.","25.22","268113820","n/a","1998","Miscellaneous","Other Consumer Services","http://www.nasdaq.com/symbol/crai",
"CBRL","Cracker Barrel Old Country Store, Inc.","55.8","1283065200","n/a","1981","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/cbrl",
"BREW","Craft Brew Alliance, Inc.","7.66","144352700","n/a","1994","n/a","n/a","http://www.nasdaq.com/symbol/brew",
"CRAY","Cray Inc","7.32","269222280","n/a","n/a","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/cray",
"CACC","Credit Acceptance Corporation","101.01","2588078220","n/a","1992","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/cacc",
"CRED","Credo Petroleum Corporation","10.22","102619020","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cred",
"CREE","Cree, Inc.","31.63","3672211370","n/a","1993","Technology","Semiconductors","http://www.nasdaq.com/symbol/cree",
"CRFN","Crescent Financial Bancshares, Inc.","3.85","109386200","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/crfn",
"CRESW","Cresud S.A.C.I.F. y A.","0.077","13860000","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/cresw",
"CRESY","Cresud S.A.C.I.F. y A.","12.32","617921920","n/a","1997","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/cresy",
"CXPO","Crimson Exploration Inc.","4.15","187310250","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cxpo",
"CROX","Crocs, Inc.","20.92","1879431880","n/a","2006","Consumer Non-Durables","Shoe Manufacturing","http://www.nasdaq.com/symbol/crox",
"ATX","Cross (A.T.) Company","12.04","134041320","n/a","n/a","Consumer Durables","Consumer Specialties","http://www.nasdaq.com/symbol/atx",
"CCRN","Cross Country Healthcare, Inc.","5.01","156507390","n/a","2001","Technology","Professional Services","http://www.nasdaq.com/symbol/ccrn",
"CRDS","Crossroads Systems, Inc.","5.8","63869600","n/a","1992","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/crds",
"XTXI","Crosstex Energy, Inc.","14.14","670094600","n/a","2004","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/xtxi",
"XTEX","Crosstex Energy, L.P.","17.09","869248670","n/a","2002","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/xtex",
"CRWS","Crown Crafts, Inc.","5.35","51670300","n/a","n/a","Basic Industries","Textiles","http://www.nasdaq.com/symbol/crws",
"CRWN","Crown Media Holdings, Inc.","1.59","571884840","n/a","1983","Consumer Services","Television Services","http://www.nasdaq.com/symbol/crwn",
"CRMB","Crumbs Bake Shop, Inc.","3.6757","20238404.2","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/crmb",
"CRMBU","Crumbs Bake Shop, Inc.","4","64000","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/crmbu",
"CRMBW","Crumbs Bake Shop, Inc.","0.2","1091200","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/crmbw",
"CRYP","CryptoLogic Limited","2.52","34823880","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/cryp",
"CSGS","CSG Systems International, Inc.","15.14","512065080","n/a","1996","Technology","EDP Services","http://www.nasdaq.com/symbol/csgs",
"CSPI","CSP Inc.","4.02","13764480","n/a","1982","Technology","EDP Services","http://www.nasdaq.com/symbol/cspi",
"CSRE","CSR plc","14.68","20361160","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/csre",
"CTCM","CTC Media, Inc.","11.63","1829631600","n/a","2006","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/ctcm",
"CTIB","CTI Industries Corporation","5.02","15757780","n/a","1997","Basic Industries","Specialty Chemicals","http://www.nasdaq.com/symbol/ctib",
